Style Name,Category,Keywords,Colors,Effects,Best For,Complexity,Accessibility
现代简约,General,"简约,现代,干净,专业","#1890ff #52c41a #ffffff","平滑过渡 200ms,微阴影",后台管理/企业应用,低,优秀
科技暗黑,BI/Dashboard,"科技,暗黑,数据,可视化,大屏","#00d4ff #1a1a2e #16213e","发光效果,渐变动画,粒子背景",BI大屏/监控系统,高,良好
玻璃拟态,Modern,"玻璃,透明,模糊,现代","#ffffff80 #f0f0f0,backdrop-blur","模糊背景,透明度变化",移动端/展示页面,中,良好
极简移动,Mobile,"移动,极简,轻量,快速","#07c160 #ffffff","底部导航,滑动切换",小程序/H5/移动端,低,优秀
商务蓝,Admin,"商务,专业,信任,企业","#1e40af #3b82f6 #f8fafc","稳重过渡,卡片阴影",后台管理/ERP/CRM,低,优秀
数据可视化,BI,"数据,图表,仪表盘,监控","#10b981 #f59e0b #6366f1","实时更新,数据动画",数据大屏/分析平台,高,良好
原型线框,Prototype,"原型,线框,演示,测试","#6b7280 #e5e7eb #f9fafb","简单过渡,无装饰",原型设计/Demo,低,良好
卡片布局,General,"卡片,模块,网格,信息","#ffffff #f5f5f5 #e0e0e0","卡片悬浮,阴影变化",内容展示/信息流,中,良好
渐变流光,Modern,"渐变,流光,炫酷,年轻","#6366f1 #8b5cf6 #ec4899","渐变动画,流光效果",品牌展示/营销页,高,中等
暗黑模式,General,"暗黑,夜间,护眼,现代","#1f2937 #374151 #4b5563","暗色过渡,发光效果",夜间模式/开发者工具,中,良好
