Theme Name,Primary,Secondary,Accent,Background,Foreground,Border,Notes
商务蓝,1890ff,52c41a,faad14,ffffff,1f2937,e5e7eb,后台管理系统默认配色
科技青,00d4ff,10b981,f59e0b,0f172a,f8fafc,1e293b,BI大屏/数据可视化
自然绿,07c160,1890ff,faad14,ffffff,1f2937,e5e7eb,移动端/小程序默认配色
优雅紫,7c3aed,ec4899,06b6d4,ffffff,1f2937,e5e7eb,品牌展示/营销页面
专业灰,6b7280,3b82f6,10b981,f9fafb,111827,e5e7eb,企业级应用/文档系统
活力橙,f97316,22c55e,3b82f6,ffffff,1f2937,e5e7eb,电商/活动页面
稳重蓝,1e40af,64748b,fbbf24,f8fafc,0f172a,cbd5e1,金融/银行系统
医疗蓝,0ea5e9,22c55e,f43f5e,f0f9ff,0c4a6e,bae6fd,医疗健康系统
教育绿,059669,f59e0b,3b82f6,ffffff,064e3b,a7f3d0,教育平台/在线学习
暗黑科技,6366f1,10b981,f59e0b,0f0f23,ffffff,27272a,暗黑模式/开发者工具
